scenario_id,category,datasets_json,omega,K,N_min,method,ci_low,ci_high,ci_width,clipped,valid,runtime_ms,width_ratio_vs_sim,jaccard_vs_sim,overlap_vs_sim,endpoint_abs_err_vs_sim,center_abs_err_vs_sim
0,single,"[[79, 169, 68]]",1.0,1000,180,Simulation (reference),185.0,213.0,28.0,False,True,275.1026999903843,1.0,1.0,28.0,0.0,0.0
0,single,"[[79, 169, 68]]",1.0,1000,180,ehp CI,186.0,214.0,28.0,False,True,0.6529999664053321,1.0,0.9310344827586207,27.0,2.0,1.0
0,single,"[[79, 169, 68]]",1.0,1000,180,Established CI #1,183.33867590942828,209.75267884499812,26.41400293556984,False,True,0.27189997490495443,0.9433572476989228,0.8345102453759341,24.752678844998115,4.908645245573609,2.4543226227868047
0,single,"[[79, 169, 68]]",1.0,1000,180,Established CI #2,185.0,215.0,30.0,False,True,3.9218999445438385,1.0714285714285714,0.9333333333333333,28.0,2.0,1.0
1,single,"[[114, 121, 44]]",1.0,1568,191,Simulation (reference),263.0,384.0,121.0,False,True,410.2859999984503,1.0,1.0,121.0,0.0,0.0
1,single,"[[114, 121, 44]]",1.0,1568,191,ehp CI,265.0,387.0,122.0,False,True,0.7532999152317643,1.0082644628099173,0.9596774193548387,119.0,5.0,2.5
1,single,"[[114, 121, 44]]",1.0,1568,191,Established CI #1,259.6632573665334,371.95415377602,112.2908964094866,False,True,0.21189998369663954,0.9280239372684843,0.8762828385910586,108.95415377602001,15.382588857446592,7.691294428723268
1,single,"[[114, 121, 44]]",1.0,1568,191,Established CI #2,264.0,390.0,126.0,False,True,4.1455000173300505,1.0413223140495869,0.9448818897637795,120.0,7.0,3.5
2,single,"[[147, 134, 27]]",1.0,3648,254,Simulation (reference),546.0,1036.0,490.0,False,True,1278.8040000014007,1.0,1.0,490.0,0.0,0.0
2,single,"[[147, 134, 27]]",1.0,3648,254,ehp CI,548.0,1037.0,489.0,False,True,2.0185000030323863,0.9979591836734694,0.9938900203665988,488.0,3.0,1.5
2,single,"[[147, 134, 27]]",1.0,3648,254,Established CI #1,532.0328597731674,954.3734592498846,422.3405994767172,False,True,0.229199999012053,0.8619195907688106,0.810317631157615,408.3734592498846,95.59368097694801,47.796840488474004
2,single,"[[147, 134, 27]]",1.0,3648,254,Established CI #2,546.0,1042.0,496.0,False,True,6.072400021366775,1.0122448979591836,0.9879032258064516,490.0,6.0,3.0
3,single,"[[45, 144, 18]]",1.0,1800,171,Simulation (reference),266.0,548.0,282.0,False,True,597.77940006461,1.0,1.0,282.0,0.0,0.0
3,single,"[[45, 144, 18]]",1.0,1800,171,ehp CI,266.0,545.0,279.0,False,True,1.1383999371901155,0.9893617021276596,0.9893617021276596,279.0,3.0,1.5
3,single,"[[45, 144, 18]]",1.0,1800,171,Established CI #1,255.7484724591103,479.13030993738477,223.38183747827446,False,True,0.29939995147287846,0.792134175454874,0.7292701315566781,213.13030993738477,79.12121760350493,39.56060880175244
3,single,"[[45, 144, 18]]",1.0,1800,171,Established CI #2,265.0,549.0,284.0,False,True,4.790500039234757,1.0070921985815602,0.9929577464788732,282.0,2.0,0.0
4,single,"[[164, 101, 40]]",1.0,2071,225,Simulation (reference),341.0,526.0,185.0,False,True,654.4971000403166,1.0,1.0,185.0,0.0,0.0
4,single,"[[164, 101, 40]]",1.0,2071,225,ehp CI,342.0,527.0,185.0,False,True,0.8628999348729849,1.0,0.989247311827957,184.0,2.0,1.0
4,single,"[[164, 101, 40]]",1.0,2071,225,Established CI #1,334.17463985630144,501.7743489330824,167.59970907678098,False,True,0.1832999987527728,0.9059443733880053,0.8381287480062309,160.77434893308242,31.05101121061614,15.52550560530807
4,single,"[[164, 101, 40]]",1.0,2071,225,Established CI #2,340.0,530.0,190.0,False,True,4.10839996766299,1.027027027027027,0.9736842105263158,185.0,5.0,1.5
5,single,"[[162, 172, 132]]",1.0,1056,202,Simulation (reference),205.0,220.0,15.0,False,True,297.096399939619,1.0,1.0,15.0,0.0,0.0
5,single,"[[162, 172, 132]]",1.0,1056,202,ehp CI,205.0,220.0,15.0,False,True,1.4335999730974436,1.0,1.0,15.0,0.0,0.0
5,single,"[[162, 172, 132]]",1.0,1056,202,Established CI #1,203.74553876492877,218.55948147733588,14.813942712407112,False,True,0.3242000238969922,0.9875961808271408,0.8342006099888094,13.55948147733588,2.6949797577353536,1.347489878867691
5,single,"[[162, 172, 132]]",1.0,1056,202,Established CI #2,205.0,221.0,16.0,False,True,3.917700028978288,1.0666666666666667,0.9375,15.0,1.0,0.5
6,single,"[[109, 110, 51]]",1.0,1176,168,Simulation (reference),207.0,279.0,72.0,False,True,305.4820999968797,1.0,1.0,72.0,0.0,0.0
6,single,"[[109, 110, 51]]",1.0,1176,168,ehp CI,206.0,278.0,72.0,False,True,0.6288000149652362,1.0,0.9726027397260274,71.0,2.0,1.0
6,single,"[[109, 110, 51]]",1.0,1176,168,Established CI #1,202.6264116066356,269.78732214028076,67.16091053364516,False,True,0.18450000789016485,0.9327904240784051,0.8221077922500227,62.787322140280764,13.586266253083636,6.793133126541818
6,single,"[[109, 110, 51]]",1.0,1176,168,Established CI #2,206.0,280.0,74.0,False,True,2.4619000032544136,1.0277777777777777,0.972972972972973,72.0,2.0,0.0
7,single,"[[188, 112, 100]]",1.0,1053,200,Simulation (reference),203.0,221.0,18.0,False,True,293.9204000867903,1.0,1.0,18.0,0.0,0.0
7,single,"[[188, 112, 100]]",1.0,1053,200,ehp CI,203.0,222.0,19.0,False,True,0.508100027218461,1.0555555555555556,0.9473684210526315,18.0,1.0,0.5
7,single,"[[188, 112, 100]]",1.0,1053,200,Established CI #1,201.52552331102936,219.781067090934,18.255543779904627,False,True,0.2087999600917101,1.0141968766613683,0.8616954056813212,16.781067090933988,2.693409598036652,1.3467047990183119
7,single,"[[188, 112, 100]]",1.0,1053,200,Established CI #2,203.0,223.0,20.0,False,True,2.6307000080123544,1.1111111111111112,0.9,18.0,2.0,1.0
8,single,"[[181, 93, 53]]",1.0,1589,221,Simulation (reference),277.0,377.0,100.0,False,True,491.758199990727,1.0,1.0,100.0,0.0,0.0
8,single,"[[181, 93, 53]]",1.0,1589,221,ehp CI,278.0,377.0,99.0,False,True,1.1300999904051423,0.99,0.99,99.0,1.0,0.5
